EQ,Year,Month,Type,Duration,Cleaning,Model,Prediction,Correct Prediction
0,2012,1,VT,23,Raw,KNN,HB,False
1,2012,1,LP,47,Raw,KNN,HB,False
2,2012,1,LP,56,Raw,KNN,HB,False
3,2012,1,VT,49,Raw,KNN,HB,False
4,2012,1,VT,31,Raw,KNN,HB,False
5,2012,1,LP,29,Raw,KNN,HB,False
6,2012,1,LP,33,Raw,KNN,HB,False
7,2012,1,LP,42,Raw,KNN,HB,False
8,2012,1,LP,24,Raw,KNN,HB,False
9,2012,1,LP,30,Raw,KNN,HB,False
10,2012,1,LP,36,Raw,KNN,HB,False
11,2012,1,LP,31,Raw,KNN,HB,False
12,2012,1,LP,32,Raw,KNN,HB,False
13,2012,1,VT,13,Raw,KNN,HB,False
14,2012,1,LP,35,Raw,KNN,HB,False
15,2012,1,LP,37,Raw,KNN,HB,False
16,2012,1,LP,29,Raw,KNN,HB,False
17,2012,1,LP,48,Raw,KNN,HB,False
18,2012,1,VT,27,Raw,KNN,HB,False
19,2012,1,LP,35,Raw,KNN,HB,False
20,2012,1,LP,40,Raw,KNN,HB,False
21,2012,1,VT,24,Raw,KNN,HB,False
22,2012,1,LP,48,Raw,KNN,HB,False
23,2012,1,LP,56,Raw,KNN,HB,False
24,2012,1,VT,19,Raw,KNN,HB,False
25,2012,1,REGIONAL,102,Raw,KNN,HB,False
26,2012,1,LP,34,Raw,KNN,HB,False
27,2012,1,LP,25,Raw,KNN,HB,False
28,2012,1,LP,53,Raw,KNN,HB,False
29,2012,1,VT,30,Raw,KNN,HB,False
30,2012,1,LP,33,Raw,KNN,HB,False
31,2012,1,VT,26,Raw,KNN,HB,False
32,2012,1,VT,28,Raw,KNN,HB,False
33,2012,1,LP,31,Raw,KNN,HB,False
34,2012,1,VT,25,Raw,KNN,HB,False
35,2012,1,VT,42,Raw,KNN,HB,False
36,2012,1,VT,30,Raw,KNN,HB,False
37,2012,1,VT,22,Raw,KNN,HB,False
38,2012,1,LP,33,Raw,KNN,HB,False
39,2012,1,LP,48,Raw,KNN,HB,False
40,2012,1,LP,43,Raw,KNN,HB,False
41,2012,1,LP,29,Raw,KNN,HB,False
42,2012,1,LP,47,Raw,KNN,HB,False
43,2012,1,LP,39,Raw,KNN,HB,False
44,2012,1,LP,51,Raw,KNN,HB,False
45,2012,1,LP,38,Raw,KNN,HB,False
46,2012,1,LP,49,Raw,KNN,HB,False
47,2012,1,LP,46,Raw,KNN,HB,False
48,2012,1,LP,37,Raw,KNN,HB,False
49,2012,1,LP,42,Raw,KNN,HB,False
50,2012,1,LP,36,Raw,KNN,HB,False
51,2012,1,LP,33,Raw,KNN,HB,False
52,2012,1,VT,24,Raw,KNN,HB,False
53,2012,1,LP,29,Raw,KNN,HB,False
54,2012,1,LP,34,Raw,KNN,HB,False
55,2012,1,LP,43,Raw,KNN,HB,False
56,2012,1,LP,39,Raw,KNN,HB,False
57,2012,1,LP,40,Raw,KNN,HB,False
58,2012,1,LP,40,Raw,KNN,HB,False
